trait_id,career_name,O,C,E,A,N
113,"Artificial Intelligence (AI) Engineer, gRED Early Clinical Development",0.79,0.79,0.28,0.55,0.27
114, Project Coordinator,0.67,0.63,0.64,0.73,0.47
115,"Recruiter, FB+ AR/VR",0.9,0.61,0.63,0.72,0.52
116, Liquid Studios - Artificial Intelligence Engineer,0.89,0.83,0.49,0.45,0.2
117,Senior Geophysicist,0.64,0.75,0.65,0.62,0.53
118,Perception Integration Engineer,0.75,0.82,0.33,0.38,0.18
119,Global Account Manager - East,0.53,0.78,0.84,0.82,0.63
120,Frontend Developer,0.79,0.93,0.33,0.39,0.16
121, Transportation Intern,0.58,0.61,0.59,0.57,0.42
122, Systems Engineer Data Scientist,0.74,0.79,0.32,0.65,0.34
123, Web Engineer II,0.71,0.96,0.43,0.37,0.32
124,Software Engineer in Test (Big Data/Cloud),0.83,0.76,0.31,0.71,0.35
125,Transportation Modeler/Engineer,0.74,0.84,0.37,0.45,0.27
126,JPMorgan Chase Institute- Big Data Engineer,0.72,0.84,0.4,0.56,0.25
127,Solutions Sales Engineer- Big Data & Analytics,0.79,0.93,0.35,0.66,0.22
128,"Escalation Engineer, Big Data using Cosmos DB",0.74,0.86,0.3,0.6,0.28
129, Senior Big Data Software Engineer,0.65,0.81,0.29,0.62,0.22
130, Principal Data Engineer,0.83,0.87,0.39,0.71,0.3
131,Data Engineer,0.67,0.86,0.37,0.7,0.29
132,Big Data Software Engineer,0.68,0.81,0.32,0.68,0.31
133, Senior Big Data Engineer,0.72,0.95,0.37,0.6,0.22
134,"User Researcher - Farmington Hills, MI",0.68,0.8,0.28,0.59,0.26
135, Health Systems Engineer,0.73,0.98,0.32,0.45,0.23
136," Production Engineer, University Grad",0.9,0.82,0.38,0.54,0.32
137, Cloud Data Engineer,0.81,0.8,0.28,0.68,0.39
138, Big Data Engineer,0.76,0.86,0.31,0.7,0.24
139, Big Data Engineer and Hadoop Administrator,0.71,0.84,0.35,0.6,0.22
140," QA Engineer II, ETL / Data Warehouse",0.77,0.81,0.37,0.58,0.3
141," Vice President, Software Engineering",0.81,0.81,0.37,0.38,0.16
142, Systems Engineer – Data Analytics (Azure),0.85,0.81,0.41,0.6,0.34
143,ASSOCIATE QUALITY ENGINEER,0.85,0.92,0.39,0.43,0.22
144,IBM Mainframe Support Engineer - Junior,0.84,0.92,0.44,0.57,0.35
145, Big Data Engineer - Strategic Analytics,0.84,0.79,0.26,0.7,0.31
146, Sr. Data Engineer,0.82,0.78,0.41,0.59,0.23
147,L3 SAN Storage Engineer,0.73,0.96,0.43,0.45,0.22
148,Data Engineer(s),0.83,0.83,0.41,0.64,0.28
149,Big Data Engineer,0.74,0.81,0.4,0.65,0.25
150, Data Engineer - SQL / Big Data / Java,0.83,0.83,0.36,0.73,0.32
151,Data Ingestion Engineer - Data Modeler,0.67,0.94,0.38,0.62,0.23
152,Product Engineer (Web Applications),0.86,0.92,0.41,0.53,0.31
153,Enterprise Software Engineer - Big Data,0.68,0.81,0.3,0.7,0.21
154,Senior Data Engineer,0.76,0.9,0.43,0.62,0.36
155, Data Engineer - Operations,0.67,0.92,0.28,0.63,0.36
156, Software Development Engineer I,0.73,0.85,0.44,0.49,0.28
157, Enterprise ETL Engineer,0.84,0.91,0.35,0.42,0.19
158,Test Engineer - Data Centric Testing,0.83,0.87,0.33,0.64,0.39
159,Data Engineer - SQL / Big Data / Java,0.68,0.87,0.35,0.67,0.2
160, Big Data Delivery Engineer (REMOTE) - Professional Services,0.82,0.94,0.36,0.69,0.38
161,Digital Engineer II,0.84,0.83,0.42,0.47,0.23
162, Senior Data Engineer,0.8,0.94,0.44,0.64,0.22
163, Data Engineer,0.85,0.92,0.27,0.73,0.37
164,Data Engineer (Python),0.75,0.87,0.33,0.56,0.27
165,Storage & Data Protection Engineer,0.81,0.75,0.32,0.63,0.31
166," Associate, Big Data Software Engineer",0.83,0.82,0.32,0.7,0.29
167, Customer Service Rep,0.59,0.64,0.58,0.59,0.5
168, Java Data Engineer,0.73,0.93,0.32,0.67,0.33
169, Data Engineer IV,0.65,0.88,0.29,0.74,0.23
170,"Data Engineer - Conshohocken, PA",0.73,0.77,0.45,0.65,0.32
171,Lead Big Data Engineer,0.66,0.9,0.29,0.73,0.24
172,Defect Engineer,0.74,0.81,0.39,0.46,0.16
173,Software Engineer 2 - Big Data/Data Warehousing,0.81,0.84,0.35,0.64,0.28
174,"Data Integration Engineer (Chicago, IL)",0.76,0.78,0.29,0.72,0.39
175, Principal Big Data Engineer,0.72,0.8,0.38,0.63,0.21
176, PD&P Coker Stress Engineer,0.73,0.94,0.43,0.36,0.19
177," Data Engineer (Spark, Docker, AWS)",0.7,0.88,0.25,0.57,0.36
178,Big Data Delivery Engineer (REMOTE) - Professional Services,0.69,0.88,0.3,0.57,0.25
179, Sr Data Integration Engineer,0.79,0.92,0.42,0.63,0.33
180,Data Engineer - AWS,0.69,0.81,0.43,0.55,0.22
181, Lead Data Engineer,0.69,0.76,0.29,0.67,0.28
182, Escalation Engineer - Big Data,0.83,0.91,0.32,0.6,0.28
183,Sr. Data Engineer,0.77,0.8,0.37,0.63,0.31
184,Engineer - Cloud Recovery Development,0.79,0.86,0.49,0.5,0.18
185,Sr Data/BI Engineer,0.82,0.85,0.43,0.71,0.29
186,Associate Digital Engineer,0.7,0.85,0.41,0.48,0.2
187,Systems Administrator/Engineer,0.73,0.97,0.5,0.46,0.18
188," Cloud Sales Engineer Manager, Education",0.75,0.8,0.48,0.37,0.27
189,Hadoop Engineer/Admin,0.75,0.91,0.43,0.52,0.19
190,Software Engineer- Java/Big Data,0.65,0.78,0.43,0.72,0.32
191," SVP, Data Strategy",0.77,0.88,0.29,0.73,0.28
192, Engineer II- Big Data,0.73,0.85,0.26,0.58,0.35
193," Software Development Engineer, Big Data",0.67,0.87,0.3,0.63,0.26
194,Sr. Big Data Engineer,0.72,0.89,0.31,0.66,0.3
195,Software Engineer - Big Data Platform,0.78,0.94,0.4,0.59,0.21
196, Software Engineer - Big Data/Spark/Kafka,0.7,0.87,0.26,0.65,0.32
197,Test Engineer - Build Pod 1 Automation Tester,0.77,0.95,0.32,0.37,0.3
198, Data Center Operations Engineer,0.75,0.89,0.34,0.6,0.36
199,"Data Engineer, Infrastructure Strategy",0.81,0.89,0.3,0.67,0.27
200, BI Engineer,0.72,0.98,0.33,0.54,0.24
201,HFM Administrator,0.39,0.81,0.82,0.95,0.66
202, Sr Data Engineer,0.78,0.89,0.42,0.6,0.3
203, Project Engineer,0.74,1.0,0.49,0.36,0.29
204, Remote Hortonworks/Big Data Developer- Big Data Engineer,0.84,0.79,0.36,0.73,0.21
205,Data Engineer - Digital Wealth,0.79,0.81,0.43,0.74,0.39
206, Big Data Software Engineer,0.74,0.92,0.42,0.61,0.37
207,Autumn Engineering Analyst,0.66,0.87,0.3,0.57,0.22
208, Sr. Data Warehouse Engineer,0.79,0.82,0.39,0.56,0.26
209, Data & Reporting Engineer,0.76,0.91,0.31,0.68,0.38
210,"Big Data Software Engineer, Senior Associate",0.77,0.8,0.25,0.72,0.2
211, SCADA Engineer,0.87,0.91,0.49,0.51,0.35
212, Data Scientist,0.72,0.9,0.33,0.65,0.33
213,Network Engineer,0.87,1.0,0.45,0.43,0.23
214,Junior Data Engineer,0.8,0.8,0.27,0.62,0.26
215,"Consulting Systems Engineer - Data Center (Minneapolis, MN)",0.71,0.8,0.26,0.55,0.4
216,Control Systems Engineer,0.79,0.88,0.44,0.39,0.34
217,Android Engineer,0.86,0.82,0.38,0.53,0.34
218,"Data Engineer, Analytics",0.74,0.87,0.28,0.75,0.25
219,Linux guru – Big Data Systems Support Engineer,0.84,0.88,0.37,0.65,0.25
220, Lead System Engineer for Big Data,0.69,0.79,0.29,0.71,0.27
221,Python Engineer for Data Analytics,0.66,0.94,0.43,0.74,0.4
222, Distribution Technician,0.58,0.63,0.7,0.69,0.43
223,Software Engineer- Big Data Developer,0.81,0.79,0.29,0.66,0.32
224,Big Data Principal Engineer,0.77,0.77,0.43,0.6,0.23
225, Business Analyst,0.83,0.94,0.42,0.71,0.33
226,Business Operations Analyst,0.76,0.77,0.33,0.62,0.25
227,Business Analyst,0.79,0.85,0.27,0.59,0.34
228,Senior Business Analyst,0.67,0.92,0.35,0.65,0.32
229, Salesforce Business Analyst,0.81,0.82,0.39,0.66,0.25
230," Analyst, Business Operations",0.83,0.91,0.38,0.72,0.37
231, Business Process Analyst I,0.79,0.92,0.39,0.69,0.32
232, Business Analyst in Utility Domain,0.8,0.78,0.43,0.72,0.21
233, Business Analyst - TMMIS,0.82,0.78,0.32,0.7,0.23
234, IT Business Analyst/Developer,0.81,0.92,0.35,0.55,0.26
235,"Business Services Analyst, HRPP",0.77,0.95,0.38,0.6,0.33
236, Business Analyst 1 - BA,0.76,0.91,0.27,0.7,0.31
237," Quantitative Business Analyst, Trust and Safety, YouTube",0.84,0.82,0.38,0.74,0.22
238,Business Intelligence Analyst,0.84,0.89,0.26,0.61,0.34
239, Sales Business Analyst,0.66,0.87,0.32,0.67,0.21
240,Business Systems Analyst,0.82,0.94,0.44,0.7,0.23
241,eCommerce Business Analyst,0.8,0.75,0.25,0.61,0.3
242, Investment Business Analyst,0.8,0.89,0.34,0.6,0.4
243,"Business Operations Analyst, Oculus",0.74,0.84,0.28,0.71,0.34
244,Business Insights Analyst,0.69,0.77,0.39,0.68,0.25
245, Business Analyst I,0.84,0.78,0.34,0.74,0.28
246," Analyst, Business",0.78,0.83,0.3,0.75,0.28
247,Business Analyst II,0.83,0.8,0.29,0.56,0.33
248, Guidewire Business Analyst,0.72,0.92,0.34,0.74,0.24
249, Business Analyst Associate,0.82,0.91,0.4,0.72,0.35
250, BUSINESS ANALYST - METRICS & REPORTING,0.78,0.78,0.26,0.73,0.32
251, Trade & Business Development Financial Analyst,0.81,0.85,0.27,0.58,0.34
252,Business Analyst I,0.74,0.79,0.35,0.56,0.32
253, Business Performance Analyst,0.7,0.91,0.31,0.64,0.2
254,Provisioning/Order Fulfillment Business Analyst,0.66,0.83,0.35,0.67,0.26
255,Sr. Business Analyst 14882,0.79,0.92,0.41,0.56,0.3
256,"Business Analyst, In-bound & Out-bound Mail Services",0.67,0.8,0.45,0.58,0.3
257, Business Systems Analyst,0.77,0.89,0.36,0.55,0.27
258,Business and Reporting Analyst,0.75,0.77,0.32,0.56,0.22
259,Business Development Analyst,0.73,0.78,0.36,0.69,0.36
260, Business Analyst (M),0.69,0.78,0.27,0.68,0.34
261,"Analyst, Business Analytics",0.66,0.94,0.26,0.66,0.34
262, Business Process Analyst,0.82,0.89,0.41,0.62,0.36
263," Analyst, Business Systems",0.67,0.93,0.36,0.71,0.29
264,Business Analyst/QA,0.78,0.86,0.4,0.57,0.21
265," Business Analyst, Strategy & Analytics",0.7,0.78,0.42,0.59,0.4
266,"Business Analyst ∞ (Maplewood, MN)",0.72,0.79,0.41,0.68,0.3
267, Business Analyst (Orthopedics),0.76,0.89,0.3,0.75,0.39
268,Financial Business Analyst (PowerApps),0.78,0.79,0.39,0.56,0.21
269, Business Intelligence Analyst,0.7,0.84,0.42,0.7,0.35
270, Chevrolet Global Business & Market Intelligence Senior Analyst,0.74,0.82,0.32,0.75,0.21
271,"Analyst II, Business",0.82,0.87,0.34,0.7,0.3
272,Business Analytics Analyst I [S01057P],0.82,0.93,0.33,0.61,0.32
273,JR SQL Developer / Business Analyst,0.83,0.79,0.37,0.68,0.35
274, HBO Business Continuity Analyst,0.68,0.89,0.43,0.59,0.25
275, Business Analyst 2571,0.84,0.79,0.42,0.65,0.25
276,Business Analyst III,0.82,0.84,0.35,0.62,0.32
277, Branch Operations - Business Analyst / Process Analyst,0.68,0.83,0.44,0.6,0.33
278, Business Analyst II,0.72,0.9,0.28,0.74,0.29
279, Junior Business Analyst,0.7,0.76,0.28,0.65,0.27
280, Business Analyst III,0.82,0.84,0.3,0.67,0.34
281,Business Analyst - Entry Level,0.68,0.78,0.26,0.7,0.33
282,HEDIS Business Analyst,0.74,0.92,0.41,0.67,0.37
283," Intern - Business Analyst (Newtown Square, PA)",0.69,0.77,0.3,0.56,0.31
284,business analyst,0.84,0.76,0.27,0.64,0.39
285,Customer Service Business Analyst II,0.71,0.85,0.26,0.58,0.4
286,Business Analyst JN -082018-41393,0.84,0.75,0.44,0.68,0.37
287, Transportation Business Analyst III,0.74,0.85,0.35,0.68,0.23
288, Business Development Analyst,0.66,0.81,0.39,0.59,0.33
289, Product Analyst,0.84,0.77,0.38,0.64,0.37
290,IT Business Analyst,0.69,0.89,0.42,0.74,0.34
291,Sponsored Programs Business Analyst,0.75,0.87,0.42,0.66,0.21
292,Business Strategy Analyst VIE (H/F),0.84,0.89,0.39,0.59,0.33
293, Junior Quality Assurance Business Analyst,0.73,0.88,0.27,0.68,0.4
294,BUSINESS ANALYST,0.66,0.95,0.33,0.72,0.36
295,Junior Business Systems Analyst,0.76,0.9,0.43,0.63,0.27
296, Business Systems Analyst Sr,0.78,0.91,0.4,0.71,0.29
297, Sr Analyst Business Analysis - Sales Analytics,0.81,0.77,0.36,0.55,0.26
298,"Jr Health Consultant, Apprentice Business Analyst",0.72,0.83,0.39,0.63,0.29
299, Business Analyst Manager,0.7,0.82,0.3,0.56,0.32
300, Senior Business Analyst (REF1945P),0.78,0.87,0.34,0.63,0.37
301,Business Analyst - Product Segment,0.75,0.85,0.26,0.62,0.28
302,Business Analyst (Contract),0.73,0.87,0.36,0.67,0.35
303,Financial Business Information Analyst,0.81,0.89,0.44,0.55,0.24
304,Business Systems Analyst I/II/III,0.65,0.88,0.43,0.6,0.39
305," Business Analyst, Health & Human Services",0.66,0.94,0.32,0.57,0.3
306, Business Intelligence Analyst- Constellation,0.7,0.81,0.31,0.71,0.31
307," Business Intelligence Analyst, Sr.",0.71,0.87,0.39,0.6,0.28
308, Product Analyst I,0.67,0.79,0.39,0.59,0.31
309,Corporate Strategy Business Analyst,0.79,0.77,0.36,0.6,0.39
310, Cyber Threat Intelligence Analyst,0.75,0.91,0.36,0.56,0.33
311, Client Intelligence Unit-Analyst - Assistant Vice President,0.84,0.87,0.41,0.73,0.25
312, Business Intelligence Analyst 3 - Customer Data,0.69,0.87,0.33,0.72,0.38
313, Business Systems Analyst Specialist,0.72,0.8,0.41,0.6,0.36
314," Sr. Manufacturing Business Intelligence/FP&A Analyst, Finance",0.73,0.88,0.27,0.67,0.29
315,Director of Business Intelligence,0.62,0.68,0.95,0.92,0.49
316,CUST INTELLIGENCE ANALYST II-III,0.67,0.75,0.38,0.67,0.31
317,Revenue Analyst,0.7,0.83,0.37,0.65,0.4
318,"REPORTING ANALYST - REDMOND, WA",0.68,0.89,0.33,0.64,0.34
319,Project Management Office (PMO) IT Analyst,0.79,0.95,0.28,0.57,0.34
320, Senior Business Intelligence Analyst,0.77,0.8,0.27,0.57,0.38
321," Senior Analyst, Global Intelligence",0.69,0.81,0.3,0.62,0.21
322,Logistics Analyst,0.75,0.76,0.41,0.6,0.31
323,Digital Marketing Analyst,0.83,0.88,0.36,0.61,0.27
324,"Business Intelligence Financial Analyst, Sr.",0.78,0.95,0.38,0.66,0.35
325,Senior Business Intelligence Analyst,0.74,0.76,0.36,0.74,0.24
326, Russian Open Source Research Analyst,0.79,0.79,0.36,0.57,0.29
327,Financial Analyst,0.8,0.82,0.38,0.71,0.39
328, IT Business Analyst,0.7,0.83,0.28,0.75,0.39
329,Sales Operations Analyst,0.76,0.92,0.35,0.67,0.22
330,"Sr Analyst, Business Intelligence",0.8,0.78,0.42,0.71,0.34
331, Senior Business Intelligence Reporting Analyst,0.66,0.81,0.3,0.62,0.22
332,Marketing Research Analyst,0.84,0.86,0.31,0.63,0.29
333, Business Intelligence (BI) Analyst- Operations and Customer Experience,0.77,0.85,0.43,0.65,0.4
334,Operational Intelligence Analyst,0.82,0.79,0.44,0.57,0.36
335, Business Systems Analyst 1,0.73,0.93,0.42,0.71,0.36
336,Business Intelligence Engineer,0.76,0.82,0.38,0.38,0.29
337," Sr. Analyst, Business Analytics",0.72,0.95,0.38,0.71,0.23
338, Workforce Analytics Analyst,0.82,0.93,0.35,0.67,0.35
339, Market Intelligence Analyst -Bilingual Korean/English,0.68,0.85,0.33,0.58,0.27
340,Business Intelligence Developer,0.71,0.81,0.33,0.54,0.26
341,"Director, Enterprise Business Intelligence",0.69,0.74,0.86,0.85,0.54
342,Project Lead Business Intelligence,0.52,0.78,0.84,0.87,0.58
343,Business Information Analyst,0.68,0.76,0.41,0.64,0.21
344, Business Intelligence & Reporting Analyst II,0.85,0.76,0.39,0.75,0.25
345,Associate HR Business Intelligence Analyst,0.68,0.77,0.31,0.57,0.34
346, Business Analyst_MDM,0.66,0.85,0.45,0.71,0.32
347, Business Analyst BI,0.71,0.87,0.36,0.64,0.23
348,Senior IT Business Analyst - Human Resources,0.83,0.84,0.29,0.62,0.28
349,35F Intelligence Analyst,0.82,0.9,0.4,0.55,0.28
350, BI/Data Warehouse Systems Analyst,0.75,0.75,0.3,0.7,0.23
351,Cerner Reporting Analyst,0.76,0.79,0.25,0.6,0.4
352, Senior Business Intelligence Engineer,0.86,0.99,0.4,0.37,0.26
353,Master Data Business Analyst,0.74,0.92,0.27,0.65,0.23
354,Bilingual Russian Cybercrime Intelligence Analyst,0.71,0.9,0.35,0.63,0.28
355, Digital Analyst,0.74,0.91,0.43,0.74,0.36
356, Law Enforcement Intelligence Analyst,0.71,0.89,0.34,0.6,0.37
357,HRIS Analyst - Support,0.66,0.93,0.34,0.68,0.33
358,Reporting Analyst,0.83,0.88,0.37,0.56,0.3
359,Data Analyst,0.68,0.9,0.35,0.69,0.21
360," Developer, Business Intelligence",0.72,0.94,0.31,0.36,0.15
361, International Marketing Reporting Analyst,0.84,0.9,0.32,0.61,0.27
362,Financial Analyst (FP &A),0.8,0.88,0.29,0.58,0.22
363,Senior Business Intelligence Developer Analyst,0.78,0.9,0.3,0.55,0.22
364,Analytic Solutions Analyst/Senior Analyst,0.84,0.81,0.4,0.67,0.28
365,Business Intelligence Analyst II - Decision Support Services,0.69,0.77,0.37,0.7,0.33
366, Sr. Business Intelligence Analyst,0.76,0.76,0.44,0.71,0.26
367," Sr. Business Analyst - Ariba, AVP",0.85,0.87,0.37,0.7,0.36
368, Business Systems Analyst 2,0.78,0.78,0.32,0.74,0.24
369, ITS Business Intelligence and Analytics Engineer,0.77,0.89,0.39,0.47,0.34
370,Senior Data Analyst - Business Intelligence,0.7,0.77,0.29,0.73,0.33
371,Drexel Co-Op Student - Business Intelligence,0.61,0.71,0.72,0.72,0.58
372,"Business Intelligence Analyst, Officer",0.7,0.9,0.34,0.72,0.35
373," Business Intelligence Analyst, External Relations",0.81,0.88,0.29,0.66,0.4
374,Epic Business Intelligence Specialist (Mgr: Baker),0.74,0.56,0.58,0.58,0.55
375, Business Analyst Medicare,0.81,0.79,0.35,0.72,0.35
376,Developer Analyst 3 Emerging,0.76,0.87,0.35,0.61,0.31
377,Senior Business Systems Analyst – Data Analyst,0.79,0.92,0.38,0.7,0.23
378, Patient Benefits Business Analyst (Full Time),0.74,0.75,0.3,0.7,0.4
379, Investigator/Intelligence Analyst,0.67,0.83,0.41,0.59,0.31
380," Sr. Analyst, BI & Analytics",0.8,0.87,0.29,0.62,0.36
381,Social Media MIS Reporting Analyst,0.76,0.75,0.4,0.56,0.35
382,Business Intelligence Analyst III,0.69,0.94,0.32,0.62,0.23
383,Business Intelligence Analyst w/ SQL & AWS,0.71,0.93,0.45,0.62,0.29
384, FP&A Business Analyst-North America Crop,0.79,0.93,0.37,0.63,0.28
385,"Analyst, Consumer Insights",0.79,0.75,0.37,0.62,0.36
