skill_id,skill_name,category,proficiency_levels,related_careers,demand_level
52,****,Domain Skill,Beginner," Senior Data Systems Analyst, Research Associate - Technological Innovation,  Systems Engineer Data Scientist, Storage & Data Protection Engineer,  Data Engineer IV, Systems Administrator/Engineer, Test Engineer - Build Pod 1 Automation Tester,  Business Analyst,  Junior Quality Assurance Business Analyst,  Business Systems Analyst Sr,  Business Intelligence Analyst, HRIS Analyst - Support,  Sr. Business Intelligence Analyst, Drexel Co-Op Student - Business Intelligence,  Business Intelligence Analyst, External Relations,  Developer Programs Engineer, Cloud Platform,  Principal Implementation Engineer, Java Developer, Remote (Services),  Cloud Software Engineer,  Grievance and Appeals Data Analyst, Invoice Processing/Data Analyst, INFORMATION / DATA ARCHITECT, Americans with Disabilities Act Coordinator,  Big Data Architect,  Chief Data Scientist Solution Architect - Virtual / Texas Job, Data Warehouse/Business Intelligence,  Mid-level Data Technologist - Big Data,  Data Architect, Data Warehouse Architect, Machine Learning Big Data Engineer,  Boiler Operator,  Data Center SAN SW Engineer,  Data Engineer, Production Manager,  Quality Specialist, Clinical Quality Manager, Gas Quality Information Analyst - (San Ramon or Morgan Hill), Manager, Development Sciences Quality, MNJIS Assistant Director - IT Delivery and Support - MNIT Division Manager
1,  Advanced Quality Planning Manager, STOPS RESEARCH SCIENTIST 1,  Research and Data Analyst, Big Data Analyst - Developer, Customer Relations Rep, B36 - 1st Shift - Shipping - Forklift, Training Specialist, Warehouse Lead, DATA ANALYST, Assistant Manager of Analytics and Donor Research,  Manager, Data Analytics,  Manager, Finance - Financial Planning & Analysis, Master Data Management (MDM) Manager,  Manager, Data Governance and Integration DVACO, Business Analytics Program Manager,  Manager, Business Intelligence & Data Analytics,  Director Digital and Data Technologies,  Community Administrator, Customer Service Specialist, Nonprofit Digital Learning & Community Manager,  Learning Specialist, Deep Learning Engineer (Satellite Imaging),  Deep Learning Scientist - Yield Analytics, Inventory Specialist,  Director of School Support, Michigan, Digital Health Writer, Full Stack Software Engineer, Full Stack Web Developer, Full Stack .NET Developer, Full Stack VR/AR Software Generalist-Research, Mobile, .NET Full-Stack Developer,  Floating Leasing Consultant, Organizational Effectiveness & Transformation Consultant, BOLD Intern, Summer 2019, Leasing Consultant | Tamarind Terrace,  Systems Analyst/Administrator, Acquisition Security Analyst- P001, Investment Analyst IV cc110, Associate Information Security Analyst,  Associate EHR Application Analyst - EHR Access & Revenue, Analyst, Information Management,  Product Support Representative,  Research Assistant I (Stroke) MRI images,  Machine Learning on Time Series Data (Video/Car Sensor Signals),  DL Performance Analysis Architect,  Pega Senior Systems Architect,  Senior Network Services Manager,  Network Engineer, ADMINISTRATIVE ASSISTANT 2, Sustainability Specialist, Administrative Assistant, Per-Diem, Day Shift - Rehab,  Open positions at the National Immigrant Justice Center:,  OVR Trainer,  Seminary Admissions Counselor,  Junior HR Coordinator, Field Resources, Dallas, TX Warehouse Agent (Early Morning, Morning and Evening Shifts),  Deputy Clerk for Case Processing and Scheduling - Massachusetts Appeals
Court,  Technical Operations Trainer, Operations Center Specialist,  Technical Support Representative: Deposit Operations, Executive Director, Enterprise Command Operations, Specialist II - Operations,  Technical Documentation Specialist, Cemetery Caretaker,  Director of Enterprise Applications",0.42
53,**** research methodologies,Domain Skill,Beginner, 393360,0.44
54,**related to education:** all technical skills,Domain Skill,Beginner,Atmospheric Data Analyst,0.49
55,**technical skills (education related):**,Domain Skill,Intermediate, Learning Experience Manager,0.41
56,**technical skills - experience:**,Domain Skill,Intermediate,Office Specialist II,0.6
57,**technical skills**,Domain Skill,Beginner," Enterprise ETL Engineer, Cloud Solution Architect, Counter Measures (CMS) Intern, Senior Network & Systems Administrator, Researcher, Cardiovascular",0.45
58,**technical skills**:,Domain Skill,Beginner," Manager POL Telecommunication, Receiving Clerk",0.46
59,-d computer rendering skills (sketchup,Domain Skill,Intermediate,Student Internship - Architecture - Fall 2018,0.59
60,-d graphics,Domain Skill,Beginner, Data Analyst,0.45
61,-factor development,Domain Skill,Beginner,Senior Integration Architect - Cloud/Middleware,0.59
62,-hour on-call support,Domain Skill,Beginner,Senior Network & Systems Administrator,0.41
63,-key data entry,Domain Skill,Beginner,Administrative Assistant - Warehouse Operations,0.47
64,.net,Domain Skill,Intermediate," Principal Data Engineer,  Cloud DevOps Engineer, Cloud Integration Developer,  Solutions Architect - Philadelphia",0.51
65,.net core),Domain Skill,Intermediate, Software Developer,0.58
66,.net),Domain Skill,Intermediate, Sr. Data Warehouse Engineer,0.51
67,/vr,Domain Skill,Intermediate,"Partner Technology Manager, YouTube",0.5
68,10,Domain Skill,Intermediate, Sr. IT Administrator,0.41
69,10),Domain Skill,Beginner,IT Operations Technical Support 2,0.51
70,11g,Domain Skill,Beginner,"Oracle Database Administrator, Senior",0.58
71,2008,Domain Skill,Beginner, System Administrator,0.6
72,2008r2,Domain Skill,Intermediate, System Administrator,0.55
73,2012,Domain Skill,Intermediate,"Microsoft SQL Server Database Administrator, Database Administrator (Loop 100K)",0.53
74,2016 enterprise and azure,Hard Skill,Intermediate,Microsoft SQL Server Database Administrator,0.8
75,2016),Domain Skill,Beginner,Database Administrator (Loop 100K),0.48
76,3-a),Domain Skill,Intermediate,Engineer,0.44
77,3-tier systems,Domain Skill,Intermediate, Network Architect FEATURED,0.42
78,3des,Domain Skill,Intermediate, Security Engineer - Data Protection,0.49
79,3ds max),Domain Skill,Intermediate,Student Internship - Architecture - Fall 2018,0.57
80,3par),Domain Skill,Intermediate,Linux Systems Administrator,0.48
81,5-s,Domain Skill,Intermediate, Quality Food Safety Manager,0.46
82,8,Domain Skill,Intermediate," Sr. IT Administrator, IT Operations Technical Support 2",0.57
83,8d car,Domain Skill,Intermediate, Quality Assurance Manager,0.52
84,@risk,Domain Skill,Beginner," Manager, Business Insights and Analytics, Actuarial Analyst- Exam",0.57
85,a+ certification,Domain Skill,Intermediate, IT Support Administrator (Contract),0.4
86,a.i.,Domain Skill,Intermediate, Program Manager - Drilling and Completions,0.41
87,a/b and multivariate testing,Domain Skill,Intermediate," Manager, Site Analytics and Optimization",0.55
88,a/b test design,Domain Skill,Beginner, Manager 2 Data and Analytics,0.52
89,a/b testing,Domain Skill,Beginner," Senior Data Systems Analyst, Digital Marketing Analyst, Senior Data Analyst,  Data Analyst, Brighter - Digital Analytics Data Analyst,  Data Scientist, Senior Data Scientist - SEM, Manager, Site Analytics Samsclub.com, Manager, Data and Analytics, Analytics Manager, Software Engineer, Monetization (Full Stack),  Senior Machine Learning Engineer, Machine Learning Engineer",0.52
90,a/b testing,Domain Skill,Beginner," Senior Data Systems Analyst, Digital Marketing Analyst, Senior Data Analyst,  Data Analyst, Brighter - Digital Analytics Data Analyst,  Data Scientist, Senior Data Scientist - SEM, Manager, Site Analytics Samsclub.com, Manager, Data and Analytics, Analytics Manager, Software Engineer, Monetization (Full Stack),  Senior Machine Learning Engineer, Machine Learning Engineer",0.53
91,a/b testing analysis,Domain Skill,Intermediate, Business Intelligence Analyst,0.44
92,a/b/mvt testing,Domain Skill,Beginner,Test and Target Manager,0.42
93,a/b/n and multivariate testing,Domain Skill,Beginner,Analytics Manager,0.45
94,a/v infrastructure installation,Domain Skill,Intermediate, Market 14 Deployment Functionality Technician (Overnight),0.57
95,a/v integration,Domain Skill,Intermediate, Senior Classroom Technology and Integration Specialist,0.52
96,a/v solutions,Domain Skill,Beginner,System Administrator,0.58
97,aaa,Domain Skill,Intermediate,"Information Security Analyst,  Network Architect FEATURED",0.41
98,aar and fra regulations,Domain Skill,Beginner, Mechanical Engineer II,0.47
99,aashto standards,Domain Skill,Intermediate,Entry Level Bridge Design Engineer,0.56
100,ab initio,Domain Skill,Beginner," Senior Business Intelligence Analyst, Modern Data Platform Architect,  Shared Risk Platform Data Management Consultant (Analytic Cons 4), Data Solutions Designer (App Sys Eng 6), Associate, Software Engineering, Corporate Technology Data Acquisition,  ETL/Data Integration Consultant - Information Delivery",0.52
101,ab initio,Domain Skill,Beginner," Senior Business Intelligence Analyst, Modern Data Platform Architect,  Shared Risk Platform Data Management Consultant (Analytic Cons 4), Data Solutions Designer (App Sys Eng 6), Associate, Software Engineering, Corporate Technology Data Acquisition,  ETL/Data Integration Consultant - Information Delivery",0.54
102,abap,Domain Skill,Intermediate,SAPUI5 & Fiori Developer,0.45
103,abap for bw,Domain Skill,Beginner, Sr. Data Engineer,0.53
104,ability for continuous improvement,Domain Skill,Intermediate, Distribution Technician,0.41
105,ability to collaborate with offshore partners,Domain Skill,Intermediate, Data Design Specialist,0.41
106,ability to collect and join data from various apis and databases,Hard Skill,Expert,Customer Data Scientist,0.72
107,ability to compose effective reports and correspondence,Domain Skill,Beginner,Service Order Coordinator,0.56
108,ability to conduct code compliance research,Domain Skill,Intermediate,Permitting Associate,0.41
109,ability to create and edit written communication,Soft Skill,Expert,Manager (226 Days),0.56
110,ability to create and host in-store gaming events,Domain Skill,Intermediate,Gaming Expert - The Domain,0.48
111,ability to create flowcharts,Domain Skill,Beginner,"MANAGER, OFFICE",0.5
112,ability to deliver product demonstrations,Domain Skill,Intermediate,Dyson Expert,0.6
113,ability to develop analytical methodologies,Domain Skill,Beginner,Competitive Intelligence Analyst/Senior Analyst,0.59
114,ability to develop and maintain relationships with key external stakeholders,Domain Skill,Beginner,Google Cloud Solution Architect (REMOTE),0.56
115,ability to develop and test across multiple browsers,Domain Skill,Beginner, Interactive Developer,0.54
116,ability to develop instructional resources and training materials,Domain Skill,Intermediate,Manager (226 Days),0.43
117,ability to develop treatment plans,Domain Skill,Intermediate, Community Health Worker,0.42
118,ability to devise and present solutions to complex problems,Domain Skill,Beginner,Utility Account Analyst,0.47
119,ability to document and progress monitor intervention plans,Domain Skill,Intermediate,Manager (226 Days),0.51
120,ability to efficiently operate a desktop computer,Domain Skill,Intermediate, GM Carline Specialist,0.41
121,ability to fill out production records and reports,Domain Skill,Beginner,MOLDING PACKER,0.42
122,ability to generate complex reports,Domain Skill,Intermediate,"MANAGER, OFFICE",0.48
123,ability to input data into shop floor system,Domain Skill,Beginner,MOLDING PACKER,0.5
124,ability to interpret work orders and technical manuals,Domain Skill,Beginner, Terminal Custodian,0.5
125,ability to learn and use professional concepts,Domain Skill,Beginner,Systems/Network Administrator,0.52
126,ability to learn new technical systems and applications,Domain Skill,Beginner,Content Integration Specialist,0.47
127,ability to learn new technologies quickly,Domain Skill,Beginner, Interactive Developer,0.45
128,ability to learn other software applications,Domain Skill,Intermediate, Leasing Consultant,0.52
129,ability to manage complex assignments,Domain Skill,Intermediate, Administrative Assistant,0.47
130,ability to manage concurrent challenges effectively,Domain Skill,Intermediate,"NETWORK OPERATIONS ENGINEER III, Information Services & Technology Network
Services",0.54
131,ability to navigate between programs by using shortcut keys,Domain Skill,Intermediate, Travel Consultant - Gov't / Military Accounts (EV),0.45
132,ability to navigate systems and assist with routine auditing and monitoring activities,Domain Skill,Beginner,Compliance Analyst,0.52
133,ability to offer integrated entertainment solutions,Domain Skill,Beginner,Retail Sales Consultant,0.51
134,ability to operate forklift equipment,Domain Skill,Beginner,Material Handler II - Forklift - B36 3rd Shift,0.44
135,ability to operate manual transmission vehicles,Domain Skill,Intermediate,Service Consultant,0.47
136,ability to perform routine biological and chemical analysis,Domain Skill,Beginner, Plant Operator (In Training/I/II),0.44
137,ability to present technical concepts in a clear manner,Domain Skill,Beginner,Google Cloud Solution Architect (REMOTE),0.45
138,ability to prioritize and multi-task,Domain Skill,Beginner, Geek Squad Consultation Agent,0.42
139,ability to quickly learn other software applications,Domain Skill,Beginner," Floating Leasing Consultant, Leasing Consultant | O2",0.42
140,ability to read and interpret technical legal and insurance documents,Domain Skill,Beginner,Enterprise Risk Financing Analyst I,0.42
141,ability to resolve complex technical problems,Domain Skill,Intermediate,Google Cloud Solution Architect (REMOTE),0.4
142,ability to script,Domain Skill,Beginner,Manager (226 Days),0.49
143,ability to simulate a medical patient within designated parameters of a case assignment,Domain Skill,Beginner,Standardized Patient,0.55
144,ability to troubleshoot solutions,Domain Skill,Intermediate, Operations Specialist,0.51
145,ability to understand and translate business and product questions into analytics projects,Domain Skill,Beginner,Business Intelligence Analyst,0.54
146,ability to use a computer for basic note-taking,Domain Skill,Intermediate,Standardized Patient,0.45
147,ability to use network monitoring tools,Domain Skill,Beginner, UC Helpdesk Level 1,0.59
148,ability to use personal computer and word processing software,Domain Skill,Beginner," SURGERY SECRETARY/SCHEDULER, WHITTIER, FULL TIME, DAYS",0.48
149,ability to validate documents and reports for accuracy,Domain Skill,Intermediate,Provisioning/Order Fulfillment Business Analyst,0.43
150,ability to work in a cross-functional team environment,Domain Skill,Beginner,Lead Big Data Engineer,0.58
151,ability to work in a multi-disciplined team,Domain Skill,Intermediate, Architect,0.43
152,ability to work independently,Domain Skill,Beginner, Business Data Analyst,0.46
153,ability to work under pressure,Domain Skill,Intermediate,"NETWORK OPERATIONS ENGINEER III, Information Services & Technology Network
Services",0.59
154,ability to work with little direct supervision,Domain Skill,Beginner,Lead Big Data Engineer,0.59
155,ability to work with multiple programs,Domain Skill,Beginner, Claims Specialist I,0.5
156,absence management,Soft Skill,Expert,Senior IT Business Analyst - Human Resources,0.62
157,abstracting and coding,Domain Skill,Intermediate, Data Coordinator I,0.47
158,academic and research computing,Domain Skill,Intermediate,"ASSISTANT VICE CHANCELLOR, IT & CIO",0.44
159,academic program operations management,Soft Skill,Beginner,ADMINISTRATOR,0.69
160,academic research,Domain Skill,Intermediate, Intern - SMURFS,0.4
161,accelerated computing with nvidia hardware and software,Domain Skill,Beginner,Developer Relations Manager - Financial Services,0.45
162,acceleration libraries,Domain Skill,Intermediate," DL Performance Analysis Architect, DL Performance Analysis Architect",0.42
163,acceptance criteria definition,Domain Skill,Intermediate,"Business Analyst (Contract),  Senior Product Manager, Data & Visualization",0.57
164,acceptance criteria development,Domain Skill,Beginner, Business Systems Analyst,0.55
165,acceptance testing,Domain Skill,Intermediate,"Business Systems Analyst,  Business Systems Analyst 2,  IT Business Consultant",0.56
166,acceptance testing procedures,Domain Skill,Beginner, F5 Solutions Architect,0.53
167,access,Domain Skill,Intermediate," Business Analyst,  Business Intelligence (BI) Analyst- Operations and Customer Experience,  Workforce Analytics Analyst,  Business Intelligence & Reporting Analyst II,  International Marketing Reporting Analyst, Financial Analyst (FP &A),  Business Analyst Medicare,  Data Analyst (226 Days),  Grievance and Appeals Data Analyst, Procurement Data Analyst,  Data and Research Analyst,  Data Analyst, Intermediate,  Water Quality/Permitting Engineer/Scientist-in-Training II or III,  Data Engineer - University Students, Administrative Support, Assistant Manager of Analytics and Donor Research,  Manager, Business Insights and Analytics,  Information Security Analyst, Jr Health Consultant, Apprentice Business Analyst, Actuarial Analyst- Exam, Secretary, Career & Technical Education, AESP - Junior High General Clerical Class II-A, Office Specialist II",0.48
168,access certification,Domain Skill,Beginner,Intermediate Security Analyst,0.44
169,access code management,Soft Skill,Expert, Customer Success Specialist / Educational Consultant,0.76
170,access control,Domain Skill,Intermediate," Cybersecurity – Cloud Consulting,  Java Full Stack Developer, Security Architect, IT Analyst",0.48
171,access control list (acls),Domain Skill,Intermediate, Cisco Network Architect,0.51
172,access control lists (acls),Domain Skill,Intermediate," Network & Security Admin, Cisco Network Architect",0.53
173,access control structures,Domain Skill,Beginner,Technology Manager,0.5
174,access controls,Domain Skill,Intermediate, Data Architect,0.45
175,access database,Hard Skill,Intermediate,"Business Intelligence Analyst,  VP - Financial Reporting & Data Analyst",0.76
176,access governance,Domain Skill,Beginner,Intermediate Security Analyst,0.58
177,access management,Soft Skill,Intermediate," IT Audit Consultant, IAM Analyst I",0.71
178,access management tools,Soft Skill,Intermediate, Technology Specialist,0.66
179,access permissions and privileges control,Domain Skill,Beginner,"Administrator, Database",0.5
180,access points),Domain Skill,Beginner," Senior Network Engineer - Enterprise Network Engineer III, IT Operations Technical Support 2",0.5
181,access reporting),Domain Skill,Beginner, VP - Financial Reporting & Data Analyst,0.49
182,access),Domain Skill,Intermediate," Business Analyst,  Business Process Analyst, BUSINESS ANALYST, Data Analyst IV,  Improvement Data Analyst, Senior Management Engineer,  Pricing Strategist,  Administrative Assistant,  Receptionist/Compliance Assistant",0.57
183,accessibility,Domain Skill,Beginner, Software Engineer - React Native,0.52
184,accessibility and security compliance,Hard Skill,Expert, Web Designer/Developer,0.77
185,accessibility compliance,Domain Skill,Intermediate, Web Developer II,0.46
186,accessibility standards (section 508),Domain Skill,Beginner, Web Developer II,0.46
187,accessing the adult information management system (aims),Soft Skill,Beginner,CORRECTIONAL RECORDS CLERK I,0.68
188,account administration,Domain Skill,Beginner, Deskside Support Technician Job,0.55
189,account based marketing,Domain Skill,Intermediate, KIND Brand Ambassador - Mobile Team Captain - Detroit,0.48
190,account based marketing strategies,Domain Skill,Beginner, KIND Brand Ambassador - Detroit,0.47
191,account executives and customers,Domain Skill,Beginner,"Director, Data Center",0.47
192,account management,Soft Skill,Intermediate,"RVP Cloud Sales,  Manager of Customer Success, Manager, Customer Success & Strategy, BPO's,  Community Administrator,  Onsite Client Mobility Consultant",0.79
193,account management,Soft Skill,Beginner,"RVP Cloud Sales,  Manager of Customer Success, Manager, Customer Success & Strategy, BPO's,  Community Administrator,  Onsite Client Mobility Consultant",0.68
194,account provisioning,Domain Skill,Beginner,System Administrator,0.48
195,account reconciliation,Domain Skill,Beginner,Fiscal Specialist,0.52
196,account reconciliations,Domain Skill,Beginner, Accounting Assistant,0.58
197,account setup,Domain Skill,Beginner, Retail Sales Consultant,0.59
198,account specific data analysis,Hard Skill,Beginner,Manager of Customer and Category Management,0.72
199,accountability,Domain Skill,Intermediate, Field Consultant-Neuroscience-New England,0.56
200,accounting,Domain Skill,Intermediate,"Audit Manager - Phoenix,  Sr. Manufacturing Business Intelligence/FP&A Analyst, Finance,  Planning Analyst,  Investigative and Deal Accounting Analytics Manager,  Department Business Administrator,  Bookkeeper,  Operations Administrator,  Student Intern/Graduate Student Intern - Citywide",0.49
201,accounting,Domain Skill,Intermediate,"Audit Manager - Phoenix,  Sr. Manufacturing Business Intelligence/FP&A Analyst, Finance,  Planning Analyst,  Investigative and Deal Accounting Analytics Manager,  Department Business Administrator,  Bookkeeper,  Operations Administrator,  Student Intern/Graduate Student Intern - Citywide",0.54
202,accounting concepts,Domain Skill,Intermediate," Finance Analyst, Marketing Finance",0.53
203,accounting experience,Domain Skill,Intermediate," Technical Coordinator, Client Services Investment Operations",0.52
204,accounting industry knowledge,Domain Skill,Beginner,Partner Consultant,0.59
205,accounting principles,Domain Skill,Intermediate,"Sponsored Programs Business Analyst, Electric Utility Risk Control Analyst",0.48
206,accounting software proficiency,Domain Skill,Intermediate,Fiscal Specialist,0.49
207,accounting tools and technology,Domain Skill,Beginner,Audit Manager - Phoenix,0.5
208,accounting/reporting system (dynamics gp/solver bi360),Domain Skill,Intermediate, Director of Enterprise Applications,0.55
209,accounts payable,Domain Skill,Beginner," Accounts Payable Specialist,  Accounting Administrator, Accounts Payable Representative,  Collaborative Administrator",0.42
210,accounts payable,Domain Skill,Beginner," Accounts Payable Specialist,  Accounting Administrator, Accounts Payable Representative,  Collaborative Administrator",0.57
211,accounts payable experience,Domain Skill,Beginner,Accounts Payable Clerk,0.51
212,accounts payable processing,Domain Skill,Intermediate, Accounting Administrator,0.45
213,accounts payable/accounts receivable,Domain Skill,Beginner, Operations Administrator,0.48
214,accounts receivable,Domain Skill,Intermediate,Invoice Processing/Data Analyst,0.51
215,accounts receivable processing,Domain Skill,Intermediate, Accounting Assistant,0.48
216,accreditation preparation,Domain Skill,Intermediate, Quality Improvement Coordinator,0.58
217,accreditation processes,Domain Skill,Intermediate,"Quality Improvement Manager,  Data Analysis and Assessment Manager",0.41
218,accreditation processes,Domain Skill,Intermediate,"Quality Improvement Manager,  Data Analysis and Assessment Manager",0.54
219,accuracy in data management,Soft Skill,Beginner,Starts Coordinator,0.7
220,ach transactions,Domain Skill,Intermediate, Associate-Operations,0.59
221,aci field testing technician level 1 certification,Domain Skill,Intermediate," Quality Control Manager - Houston, TX",0.46
222,aci laboratory testing technician level 1 certification,Domain Skill,Beginner," Quality Control Manager - Houston, TX",0.49
223,aci strength testing certification,Domain Skill,Intermediate," Quality Control Manager - Houston, TX",0.43
224,acl,Domain Skill,Intermediate, Student Research Collaboration,0.5
225,acl (audit command language),Domain Skill,Beginner,Analytic Consultant 3,0.49
226,acoustic doppler current profiler,Domain Skill,Intermediate,Hydrologic Technician,0.57
227,acoustic propagation modeling,Domain Skill,Beginner,Engineering Scientist - Sediment and Ocean Acoustics Researcher,0.58
228,acoustic scattering modeling,Domain Skill,Intermediate,Engineering Scientist - Sediment and Ocean Acoustics Researcher,0.47
229,acquiring and using ip and technology,Domain Skill,Beginner, Attorney,0.49
230,acquisition,Domain Skill,Intermediate, Library Technician (Technical Services),0.48
231,acquisition integration,Domain Skill,Intermediate,M &A Integration Lead,0.54
232,acquisitions and integration planning,Domain Skill,Beginner,"District Manager - can sit in Detroit MI, Cleveland or Columbus OH",0.53
233,acrobat,Domain Skill,Beginner,"Protocol/Operations Coordinator I,  IT Systems Administrator",0.52
234,acrobat pro,Domain Skill,Beginner, Multimedia Learning Developer,0.51
235,acsp certification,Domain Skill,Intermediate, Director of Technology Centers,0.53
236,acsp/actc/acmt certifications,Domain Skill,Intermediate, System Administrator 3-IT,0.41
237,actimize or similar system,Domain Skill,Beginner, Employee Fraud Detection Risk Manager - Monitoring and Analytics,0.48
238,action plan creation,Domain Skill,Intermediate,Global Data Insight & Analytics,0.41
239,actionable analytics,Domain Skill,Intermediate,Analytics Manager,0.47
240,active directory,Domain Skill,Intermediate," Systems Engineer – Data Analytics (Azure), Cloud Consultant,  Cloud Architect, G Suite Strategic Cloud Engineer, Google Professional Services, Microsoft MIM Developer - open to location / remote permitted, Database Administrator / DBA, Server Administrator, Administrator I, Systems,  Professional Services Consultant,  Infrastructure Consultant 1 - Wintel Admin,  Systems Administrator I,  Systems Administrator,  Windows Systems Administrator, IT Systems Administrator, Operations Systems Administrator, Systems Administrator Staff,  Sr. IT Administrator,  Desktop Systems Administrator,  Systems Engineer, Sr. IT Systems Administrator I, Windows - Woburn, IT Help Desk Analyst,  Systems Administrator (Linux & Windows),  System Administrator,  Windows Administrator, 2nd Shift,  IT Administrator,  IT Systems Administrator Ad 12344, IAM Analyst I, ATSU - Network Security Analyst,  Security Analyst, Associate Information Security Analyst,  Information Security Analyst I, Information Security Analyst, Communications Architect, Architect, Compliance, Technical Operations Co-op Fall 2018 Internship,  Messaging / Active Directory Administrator",0.43
241,active directory (ad),Domain Skill,Beginner, Sr. Systems Admin,0.41
242,active directory (ad) group management,Soft Skill,Intermediate,Intermediate Security Analyst,0.75
243,active directory 2012,Domain Skill,Intermediate,Junior Systems Administrator,0.48
244,active directory account management,Soft Skill,Beginner,unior Desktop Engineer / Entry-Level Systems Administrator,0.78
245,active directory administration,Domain Skill,Intermediate,"Remote Help Desk Tech, IT Support Administrator, SYSTEMS ADMINISTRATOR SR, Network Systems Administrator, Information Security Analyst- Distributed Directory Services- IAM, Technical Specialist I,  Senior Network Engineer",0.56
